Couldn't open C:\dev\Godot/godot.windows.opt.tools.64 - oct 06.pck
Couldn't open godot.windows.opt.tools.64 - oct 06.pck
OpenGL ES 3.0 Renderer: Intel(R) Iris(TM) Graphics 540
GLES3: max ubo light: 409
GLES3: max ubo reflections: 455, ubo size: 144
Registered interface Native mobile
(43.831696, 24.057898)
(43.831696, 24.057898)
(43.831696, 24.057898)
(43.831696, 24.057896)
(43.831696, 24.057898)
(43.831696, 24.057896)
(43.831696, 24.057896)
(43.831696, 24.057896)
(43.831699, 24.057896)
(43.831696, 24.057896)
(43.831696, 24.057896)
(43.831696, 24.057896)
(43.831696, 24.057896)
(43.831696, 24.057896)
(43.831696, 24.057896)
(43.831696, 24.057896)
(43.831696, 24.057896)
(43.831696, 24.057899)
(43.831696, 24.057898)
(43.831696, 24.057896)
(43.831696, 24.057896)
(43.831696, 24.057896)
(43.831696, 24.057894)
(43.831696, 24.057896)
(43.831696, 24.057896)
(43.831696, 24.057896)
(43.831696, 24.057896)
(43.831696, 24.057896)
(43.831696, 24.057898)
(43.831696, 24.057896)
(42.559944, 26.242157)
(42.559944, 26.242155)
(42.559948, 26.242161)
(42.559948, 26.242157)
(42.559952, 26.242157)
(42.559944, 26.242155)
(42.559948, 26.242157)
(42.559948, 26.242161)
(42.559944, 26.242157)
(42.559948, 26.242157)
(42.559948, 26.242157)
(42.559948, 26.242157)
(42.559948, 26.242161)
(42.559948, 26.242157)
(42.559948, 26.242157)
(42.559948, 26.242157)
(42.559944, 26.242157)
(42.559944, 26.242157)
(42.559948, 26.242157)
(42.559948, 26.242157)
(42.559948, 26.242157)
(42.559948, 26.242161)
(42.559948, 26.242157)
(42.559948, 26.242157)
(42.559944, 26.242157)
(42.559944, 26.242161)
(42.559948, 26.242157)
(42.559944, 26.242157)
(42.559948, 26.242157)
(42.559944, 26.242157)
(42.559948, 26.242157)
(42.559948, 26.242157)
(42.559952, 26.242157)
(42.559944, 26.242157)
(42.559948, 26.242157)
(42.559952, 26.242157)
(42.559948, 26.242155)
(42.559948, 26.242157)
(42.559948, 26.242155)
(42.559948, 26.242155)
(42.559952, 26.242155)
(42.559952, 26.242157)
(42.559948, 26.242155)
(42.559952, 26.242155)
(42.559952, 26.242155)
(42.559948, 26.242155)
(42.559948, 26.242151)
(42.559948, 26.242155)
(42.559948, 26.242151)
(42.559944, 26.242151)
(42.559948, 26.242151)
(42.559952, 26.242155)
(42.559948, 26.242151)
(42.559948, 26.242151)
(42.559944, 26.242151)
(42.559952, 26.242155)
(42.559948, 26.242151)
(42.559956, 26.242155)
(42.559952, 26.242155)
(42.559952, 26.242155)
(42.559952, 26.242155)
(42.559948, 26.242155)
(42.559952, 26.242155)
(42.559948, 26.242155)
(42.559952, 26.242155)
(42.559948, 26.242155)
(42.559952, 26.242155)
(42.559948, 26.242155)
(42.559948, 26.242155)
(42.559948, 26.242155)
(42.559944, 26.242155)
(42.559948, 26.242155)
(42.559948, 26.242155)
(42.559948, 26.242155)
(42.559948, 26.242155)
(42.559948, 26.242155)
(42.559948, 26.242155)
(42.559948, 26.242155)
(42.559948, 26.242155)
(42.559952, 26.242157)
(42.559948, 26.242155)
(42.559948, 26.242157)
(42.559948, 26.242157)
(42.559948, 26.242157)
(42.559948, 26.242157)
(42.559948, 26.242157)
(42.559948, 26.242157)
(42.559948, 26.242157)
(42.559948, 26.242157)
(42.559948, 26.242157)
(42.559944, 26.242157)
(42.559948, 26.242157)
(42.559948, 26.242157)
(42.559948, 26.242157)
(42.559948, 26.242157)
(42.559948, 26.242157)
(42.559944, 26.242157)
(42.559948, 26.242157)
(42.559948, 26.242157)
(42.559948, 26.242157)
